[44] 19534 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.21, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 12697, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 2214} 149.13698806700995 478.4938222480123 4.6189042330370285 216.5015660743584 0.9009000000000001 506
[45] 19804 {index_type: IVF_PQ, nlist: 255, nprobe: 25, m: 16, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1052, dataCoord*segment*sealProportion: 0.15, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 21061, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1317} 135.74332914396655 241.99543299595825 2.695904777967371 370.93298256400925 0.13410000000000002 269
[46] 20310 {index_type: HNSW, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 29, efConstruction: 257, ef: 470, reorder_k: 500} {dataCoord*segment*maxSize: 1682, dataCoord*segment*sealProportion: 0.31, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 10567, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 2332} 134.53129611501936 478.61385479499586 4.397094239015132 227.4229174182952 0.9955 505
[47] 21020 {index_type: HNSW, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 24, efConstruction: 334, ef: 515, reorder_k: 500} {dataCoord*segment*maxSize: 1592, dataCoord*segment*sealProportion: 0.29, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 6163, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1105} 153.58361237100326 664.7617417229922 10.226250552979764 97.78755124561428 0.9963 710
[48] 21475 {index_type: SCANN, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 498} {dataCoord*segment*maxSize: 951, dataCoord*segment*sealProportion: 0.27, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 13695, dataNode*segment*insertBufSize: 37115, rootCoord*minSegmentSizeToEnableIndex: 3337} 138.5661785940174 422.6542270220234 4.660063674964476 214.58934249597417 0.9989 454
[49] 21996 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1106, dataCoord*segment*sealProportion: 0.14, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 21660, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1400} 132.2020897740149 493.65643823699793 4.692770906025544 213.09371798141572 0.7109000000000001 521
[50] 22446 {index_type: HNSW, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 29, efConstruction: 216, ef: 475, reorder_k: 500} {dataCoord*segment*maxSize: 1292, dataCoord*segment*sealProportion: 0.3, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 12829, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 2069} 147.18948394199833 421.91631318599684 6.353712072013877 157.38830917514952 0.9975 450
[51] 22849 {index_type: SCANN, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 496} {dataCoord*segment*maxSize: 1398, dataCoord*segment*sealProportion: 0.41, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 11143, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1988} 146.1093143739854 371.9863136410131 4.282358575961553 233.51617625234988 0.9992000000000001 402
[52] 23272 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.33, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 16763, dataNode*segment*insertBufSize: 1260410676, rootCoord*minSegmentSizeToEnableIndex: 1702} 152.7630799469771 397.569076639018 3.5309815810178407 283.20736799531534 0.9005 423
[53] 23996 {index_type: HNSW, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 33, efConstruction: 254, ef: 421, reorder_k: 500} {dataCoord*segment*maxSize: 1255, dataCoord*segment*sealProportion: 0.27, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 12869, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 2067} 145.29712390800705 689.9745642159833 10.336253851943184 96.74684990558771 0.9957 723
[54] 24500 {index_type: SCANN, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 527} {dataCoord*segment*maxSize: 348, dataCoord*segment*sealProportion: 0.43, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 9792, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 2501} 140.48673205304658 471.7089326099958 6.01467710203724 166.25996425664954 0.9992000000000001 503
[55] 24986 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.32, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 27631, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1362} 146.8508887590142 459.633477683994 4.605897177010775 217.11296660968875 0.8974000000000001 486
[56] 25455 {index_type: HNSW, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 30, efConstruction: 231, ef: 567, reorder_k: 500} {dataCoord*segment*maxSize: 1435, dataCoord*segment*sealProportion: 0.24, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 11224, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1870} 140.79029484500643 438.65419162699254 5.633586037030909 177.50683018360965 0.997 469
[57] 25912 {index_type: SCANN, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 427} {dataCoord*segment*maxSize: 1227, dataCoord*segment*sealProportion: 0.3, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 11044, dataNode*segment*insertBufSize: 96516714, rootCoord*minSegmentSizeToEnableIndex: 1538} 131.70414155098842 422.27684804896126 4.305761713010725 232.24694413030312 0.999 456
[58] 26351 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 10197, dataNode*segment*insertBufSize: 1715331011, rootCoord*minSegmentSizeToEnableIndex: 1381} 139.88447589596035 412.9351264149882 3.2917042989865877 303.7939951981314 0.8994000000000001 439
