[46] 6396 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 25, efConstruction: 184, ef: 573, reorder_k: 500} {dataCoord*segment*maxSize: 10000, dataCoord*segment*sealProportion: 0.85, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 77235, dataNode*segment*insertBufSize: 5052317875, rootCoord*minSegmentSizeToEnableIndex: 8955} 46.36347327101976 112.91691984422505 9.625267980620265 1038.9321128652448 0.9631300000000002 144
[47] 6536 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 24, efConstruction: 177, ef: 572, reorder_k: 500} {dataCoord*segment*maxSize: 10000, dataCoord*segment*sealProportion: 0.91, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 74364, dataNode*segment*insertBufSize: 4249369183, rootCoord*minSegmentSizeToEnableIndex: 10000} 45.77501555811614 110.86494613531977 9.1066101687029 1098.1034451620046 0.9611199999999999 140
[48] 6644 {index_type: SCANN, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 548} {dataCoord*segment*maxSize: 10000, dataCoord*segment*sealProportion: 0.83, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 61835, dataNode*segment*insertBufSize: 5611379585, rootCoord*minSegmentSizeToEnableIndex: 10000} 44.85607806406915 73.47593620046973 10.903922707773745 917.1011449733305 0.9951 107
[49] 6781 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 10000, dataCoord*segment*sealProportion: 0.93, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 87855, dataNode*segment*insertBufSize: 4271593964, rootCoord*minSegmentSizeToEnableIndex: 7153} 44.45765472948551 109.11461691278964 7.258853348903358 1377.6280521648457 0.59066 137
[50] 6912 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 23, efConstruction: 127, ef: 625, reorder_k: 500} {dataCoord*segment*maxSize: 10000, dataCoord*segment*sealProportion: 0.83, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 75080, dataNode*segment*insertBufSize: 3486291821, rootCoord*minSegmentSizeToEnableIndex: 7756} 46.977777750231326 100.58516257721931 9.438469727523625 1059.4937832812973 0.9574 130
[51] 7016 {index_type: SCANN, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 641} {dataCoord*segment*maxSize: 1620, dataCoord*segment*sealProportion: 0.21, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 23559, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 46.10271137859672 72.7586030177772 9.100193061865866 1098.8777855609187 0.99946 104
[52] 7138 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.3, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 36488, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1600} 46.513371428474784 94.08418700005859 7.332454016432166 1363.799892585731 0.74838 122
[53] 7271 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 14, efConstruction: 226, ef: 653, reorder_k: 500} {dataCoord*segment*maxSize: 10000, dataCoord*segment*sealProportion: 0.83, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 93189, dataNode*segment*insertBufSize: 3191987062, rootCoord*minSegmentSizeToEnableIndex: 9167} 47.645435196347535 103.10259376559407 8.279237090609968 1207.8407576154166 0.9339300000000001 132
[54] 7381 {index_type: SCANN, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 638} {dataCoord*segment*maxSize: 9973, dataCoord*segment*sealProportion: 0.77, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 97268, dataNode*segment*insertBufSize: 2412784411, rootCoord*minSegmentSizeToEnableIndex: 8961} 46.865421095862985 76.60708585288376 11.007007384672761 908.5121550772268 0.9959100000000001 109
[55] 7504 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 49647, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 2839} 49.81046187970787 95.66666263341904 7.256416529417038 1378.0906814624896 0.76686 123
[56] 7629 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 18, efConstruction: 129, ef: 519, reorder_k: 500} {dataCoord*segment*maxSize: 10000, dataCoord*segment*sealProportion: 0.82, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 100000, dataNode*segment*insertBufSize: 3384626871, rootCoord*minSegmentSizeToEnableIndex: 10000} 43.118305342271924 95.70546406321228 8.515502617694438 1174.3288034720244 0.93447 124
[57] 7767 {index_type: SCANN, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 530} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.2, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 38764, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 2661} 44.23309324961156 106.76780016347766 7.96395165193826 1255.6580498032292 0.99998 137
