[46] 20682 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 26, efConstruction: 344, ef: 442, reorder_k: 500} {dataCoord*segment*maxSize: 2524, dataCoord*segment*sealProportion: 0.4, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 27327, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 141.49483186379075 570.744301751256 4.891918206587434 204.41878988356854 0.9945999999999999 598
[47] 21355 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 28, efConstruction: 358, ef: 362, reorder_k: 500} {dataCoord*segment*maxSize: 3758, dataCoord*segment*sealProportion: 0.51, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 23568, dataNode*segment*insertBufSize: 253926596, rootCoord*minSegmentSizeToEnableIndex: 100} 138.02824078127742 645.7975756172091 3.7826488111168146 264.3650124381368 0.9912000000000001 672
[48] 21731 {index_type: SCANN, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 2658, dataCoord*segment*sealProportion: 0.2, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 107, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 126.64643223769963 328.8153630737215 21.472878260537982 46.570375329597105 0.9991 376
[49] 22239 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 2078, dataCoord*segment*sealProportion: 0.33, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 22713, dataNode*segment*insertBufSize: 1361469298, rootCoord*minSegmentSizeToEnableIndex: 2124} 132.2436824478209 484.6559279821813 2.2203617580235004 450.3770596779554 0.6879 508
[50] 22885 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 21, efConstruction: 343, ef: 314, reorder_k: 500} {dataCoord*segment*maxSize: 4007, dataCoord*segment*sealProportion: 0.61, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 11141, dataNode*segment*insertBufSize: 251432644, rootCoord*minSegmentSizeToEnableIndex: 100} 130.79570081084967 621.5094696208835 2.876456204801798 347.6500001392877 0.9783999999999999 646
[51] 24543 {index_type: SCANN, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 402} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.12, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 13174, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 137.43255402706563 1625.4436333272606 7.1542524341493845 139.77700803884153 0.9993 1658
[52] 25027 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1865, dataCoord*segment*sealProportion: 0.29, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 29847, dataNode*segment*insertBufSize: 528375783, rootCoord*minSegmentSizeToEnableIndex: 868} 125.8674378041178 460.8069341946393 2.211687169969082 452.1435099765847 0.6538999999999999 483
[53] 25627 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 18, efConstruction: 308, ef: 356, reorder_k: 500} {dataCoord*segment*maxSize: 4350, dataCoord*segment*sealProportion: 0.64, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 60403581, rootCoord*minSegmentSizeToEnableIndex: 100} 135.65600476041436 554.5073081869632 24.189163859933615 41.34082541217464 0.9736000000000001 599
[54] 27126 {index_type: SCANN, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 675} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.28, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 7950, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 547} 147.38328437507153 1463.799382481724 8.278098126873374 120.80069415385132 0.9993 1498
[55] 27552 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.58, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 24926, dataNode*segment*insertBufSize: 2548832446, rootCoord*minSegmentSizeToEnableIndex: 1659} 134.36880909651518 400.6149966418743 3.5580004677176476 281.05673652186744 0.8987999999999999 426
